tag,x,y
orange_big,4.7,2.5
orange_big,4.7,-2.5
orange_big,7.3,2.5
orange_big,7.3,-2.5
blue,-1.7667433023452759,1.4703056812286377
blue,2.7608964443206787,1.715367317199707
blue,7.278649806976318,1.7270327806472778
blue,12.03497314453125,1.7770155668258667
blue,16.539243698120117,1.857517957687378
blue,21.033550262451172,1.9057978391647339
blue,25.82454490661621,1.823697805404663
blue,29.008146286010742,1.6881827116012573
blue,32.85398864746094,1.5323630571365356
blue,36.05413055419922,1.4059867858886719
blue,39.64032745361328,1.332922339439392
blue,41.84113693237305,0.4617002308368683
blue,43.79493713378906,-0.8243304491043091
blue,45.312129974365234,-2.631239175796509
blue,46.155391693115234,-4.62501859664917
blue,46.42206573486328,-7.102548599243164
blue,46.53215026855469,-9.607141494750977
blue,46.37611389160156,-11.95250415802002
blue,45.840171813964844,-14.408729553222656
blue,45.09238052368164,-16.519775390625
blue,43.66311264038086,-19.095273971557617
blue,41.371543884277344,-21.7454833984375
blue,37.8901481628418,-24.08298683166504
blue,34.6198616027832,-25.537734985351562
blue,31.2377872467041,-26.407459259033203
blue,27.435110092163086,-27.594654083251953
blue,24.48672103881836,-28.271196365356445
blue,21.939889907836914,-28.539289474487305
blue,17.776226043701172,-27.49943733215332
blue,14.972742080688477,-25.15460777282715
blue,13.464027404785156,-23.703035354614258
blue,11.351754188537598,-21.9376277923584
blue,9.284819602966309,-20.39031410217285
blue,7.483360290527344,-18.919614791870117
blue,4.7759575843811035,-17.49811553955078
blue,1.2875914573669434,-17.333209991455078
blue,-1.633889079093933,-18.27589225769043
blue,-3.179487466812134,-21.729055404663086
blue,-3.273709774017334,-25.020490646362305
blue,-3.0779802799224854,-27.428274154663086
blue,-2.7758777141571045,-30.082868576049805
blue,-3.418095827102661,-34.08241271972656
blue,-5.170421123504639,-37.14822769165039
blue,-6.550363063812256,-40.39131546020508
blue,-5.864469528198242,-42.861595153808594
blue,-4.377575874328613,-44.94874954223633
blue,-2.172990322113037,-47.4768180847168
blue,0.14787301421165466,-48.763973236083984
blue,4.088644981384277,-48.87944412231445
blue,8.054802894592285,-47.91603088378906
blue,11.959933280944824,-47.655147552490234
blue,14.95924186706543,-47.93500518798828
blue,17.607585906982422,-48.6755485534668
blue,19.57051658630371,-49.775543212890625
blue,22.60651397705078,-52.183685302734375
blue,25.34033966064453,-55.39107131958008
blue,27.526002883911133,-58.727699279785156
blue,29.16377067565918,-62.03339767456055
blue,30.100679397583008,-65.72196960449219
blue,30.184701919555664,-69.02237701416016
blue,29.283241271972656,-72.07379150390625
blue,26.989700317382812,-73.96245574951172
blue,23.76495361328125,-74.3958969116211
blue,19.983386993408203,-74.25006103515625
blue,15.700919151306152,-73.0300064086914
blue,11.52437686920166,-71.98556518554688
blue,7.554224491119385,-71.01436614990234
blue,3.993138313293457,-70.14752960205078
blue,-0.06681021302938461,-69.10287475585938
blue,-3.442270517349243,-67.23098754882812
blue,-5.490409851074219,-65.11196899414062
blue,-7.245910167694092,-62.59615707397461
blue,-9.361226081848145,-60.31473922729492
blue,-11.545180320739746,-58.31230545043945
blue,-14.415183067321777,-54.93426513671875
blue,-16.5186710357666,-52.561187744140625
blue,-18.57950210571289,-50.13944625854492
blue,-21.812421798706055,-46.62108612060547
blue,-24.726701736450195,-43.47515106201172
blue,-25.750303268432617,-40.39811325073242
blue,-26.047666549682617,-36.970062255859375
blue,-25.931560516357422,-32.619327545166016
blue,-25.726341247558594,-28.64410400390625
blue,-25.001352310180664,-24.676288604736328
blue,-24.292245864868164,-20.863292694091797
blue,-23.305007934570312,-17.20359230041504
blue,-22.131742477416992,-13.64236831665039
blue,-20.788522720336914,-9.280586242675781
blue,-18.463239669799805,-6.412536144256592
blue,-15.602277755737305,-3.6869914531707764
blue,-13.574502944946289,-2.1660451889038086
blue,-11.514601707458496,-0.8928627371788025
blue,-7.043397903442383,0.44019073247909546
blue,-4.10932731628418,1.1095694303512573
yellow,-1.2053545713424683,-2.4342195987701416
yellow,3.178107500076294,-1.932328701019287
yellow,7.485589504241943,-1.813536524772644
yellow,12.131684303283691,-1.6839693784713745
